measurement,reason
99.64760365832828,
101.87331376546678,
101.88534134964799,
100.54553854520191,
100.40963353903655,
99.94069874761401,
100.63764779582564,
101.10084073554482,
100.10934342731083,
101.49915316414285,
100.31839312317759,
100.8573968172093,
98.17449584492466,
102.0665911181184,
99.67626995295221,
100.95173499800649,backup
99.17318549022909,
102.24510316173618,
99.76934597435009,
98.17283980258419,
99.05389848657552,
100.1267656465963,
98.89801758002368,
100.83933628286347,
100.01127656197802,
97.74353847492547,
98.81300401523814,
99.27574655763243,
99.96749128447878,
99.9682970930299,
