measurement,reason
100.69146044812926,
99.90817721829691,
101.38141268904114,
100.51265614904929,
99.79561632376755,
99.56423885444472,
98.83795559031326,
98.19296548889426,
99.95435807865213,
101.21655733977995,
99.46459247029902,
99.09004701343306,
99.62334636928725,
100.57142640110405,
100.78544111093622,
102.38148894112796,
99.46306501229971,
100.94955601249085,
100.39387243927693,
99.38287411584278,
,incomplete
99.94800600419212,
99.72172466987305,
100.60461954990797,
99.28222879716114,
100.51400751166449,
100.65944059794808,
100.31673120736954,
99.00105084314917,
99.31855699915724,
