Part,Operator,Measurement
P1,Op1,10.22535212159346
P1,Op1,9.31411231407937
P1,Op1,9.766571764157668
P1,Op2,10.811660007502937
P1,Op2,10.12075945029374
P1,Op2,8.567927263396307
P1,Op3,10.063032615317631
P1,Op3,10.684731849470781
P1,Op3,11.181845944185342
P2,Op1,10.389180080946828
P2,Op1,9.159927611040002
P2,Op1,9.803529628008867
P2,Op2,10.251381348428485
P2,Op2,10.422443525130907
P2,Op2,9.510183539362083
P2,Op3,9.753426447277919
P2,Op3,10.688912980385426
P2,Op3,11.437339704779385
P3,Op1,9.584279696118834
P3,Op1,10.030682282421685
P3,Op1,9.722745267057622
P3,Op2,10.09853635448219
P3,Op2,9.21863660108863
P3,Op2,9.449689257109924
P3,Op3,9.55346889435239
P3,Op3,10.478330496750711
P3,Op3,11.433542834398166
P4,Op1,9.994134556461843
P4,Op1,9.879581246822527
P4,Op1,9.62185286278365
P4,Op2,9.630137090284725
P4,Op2,11.202160912905299
P4,Op2,10.325612203655247
P4,Op3,10.49596906190256
P4,Op3,10.994941594090982
P4,Op3,9.452707862214298
P5,Op1,9.658808803471779
P5,Op1,10.141976352362786
P5,Op1,10.633298503365765
P5,Op2,10.29404390896854
P5,Op2,10.399656966019997
P5,Op2,10.199655139327819
P5,Op3,9.902772589479106
P5,Op3,10.136815325934577
P5,Op3,9.995314085271627
P6,Op1,9.749535627099394
P6,Op1,9.269087864807187
P6,Op1,10.072720338992134
P6,Op2,9.473949182399684
P6,Op2,9.97653093239215
P6,Op2,10.113006569761643
P6,Op3,11.318907030226876
P6,Op3,10.36739728725053
P6,Op3,9.363640624010785
P7,Op1,10.95763622249645
P7,Op1,10.45202313865626
P7,Op1,10.027421682780465
P7,Op2,9.509367500988333
P7,Op2,9.875146065527389
P7,Op2,10.518412060403305
P7,Op3,11.586728980774591
P7,Op3,11.116520029125402
P7,Op3,11.342103168989244
P8,Op1,10.196903425181858
P8,Op1,9.663411748610896
P8,Op1,9.298650399172374
P8,Op2,10.70374435816862
P8,Op2,9.14576716185134
P8,Op2,10.150673127654011
P8,Op3,11.479961045374464
P8,Op3,11.09988622146313
P8,Op3,9.810107504002866
P9,Op1,10.778948355828026
P9,Op1,9.489362567529616
P9,Op1,9.144851037899858
P9,Op2,9.937225965637843
P9,Op2,9.953525300509797
P9,Op2,11.33358605013104
P9,Op3,10.515781106702098
P9,Op3,9.862952012092071
P9,Op3,9.55125459310898
P10,Op1,9.453642344129044
P10,Op1,9.885185785142351
P10,Op1,9.291191946684812
P10,Op2,9.567224748147455
P10,Op2,9.456506304187736
P10,Op2,10.327598886655961
P10,Op3,9.700618133056965
P10,Op3,10.557503417771354
P10,Op3,9.654125380936701
