Part,Operator,Measurement
P1,Op1,9.7287462400744
P1,Op1,11.14547330705512
P1,Op1,7.902750788306445
P1,Op2,6.8922689160580575
P1,Op2,11.391151972123318
P1,Op2,11.389385116967128
P1,Op3,9.073312659121443
P1,Op3,9.14845460486221
P1,Op3,10.555820954338138
P2,Op1,6.972158476862148
P2,Op1,8.899082257733578
P2,Op1,11.132704232371982
P2,Op2,10.03496462903216
P2,Op2,10.639242941909421
P2,Op2,10.604355320427628
P2,Op3,10.50544022003088
P2,Op3,7.317330509881472
P2,Op3,8.770883674701093
P3,Op1,9.84650201270032
P3,Op1,10.342061479341085
P3,Op1,7.426324816366514
P3,Op2,11.13482948143519
P3,Op2,10.37370021161715
P3,Op2,11.125208017253792
P3,Op3,10.953142435691037
P3,Op3,7.296432133407525
P3,Op3,8.116421253463152
P4,Op1,8.810392185697474
P4,Op1,6.6632936392588675
P4,Op1,7.0661107859018895
P4,Op2,10.668797804261526
P4,Op2,11.686387937160662
P4,Op2,11.126644808415973
P4,Op3,8.894307603325496
P4,Op3,9.48287750801853
P4,Op3,10.063289947895242
P5,Op1,9.382496432932985
P5,Op1,7.154346272713221
P5,Op1,7.032501329711921
P5,Op2,11.702224166982472
P5,Op2,8.591564205465495
P5,Op2,11.75333018278217
P5,Op3,9.964154693570595
P5,Op3,8.343243695056314
P5,Op3,9.292266682385227
P6,Op1,10.35241882885558
P6,Op1,9.13456761822382
P6,Op1,8.60939285124822
P6,Op2,12.137149635608408
P6,Op2,12.038609481899101
P6,Op2,12.647090178759651
P6,Op3,8.617699558614927
P6,Op3,10.255896363855534
P6,Op3,9.844565784218686
P7,Op1,9.922445005579917
P7,Op1,8.393258359956489
P7,Op1,7.49751623603432
P7,Op2,10.921759397672732
P7,Op2,8.506208676503297
P7,Op2,9.331076541811449
P7,Op3,8.838873705180625
P7,Op3,10.44982859994789
P7,Op3,7.32769722422536
P8,Op1,8.190892953015407
P8,Op1,8.238024542699964
P8,Op1,6.365642670074944
P8,Op2,10.999353391548153
P8,Op2,9.815441580269386
P8,Op2,10.179342848438436
P8,Op3,9.278211233573307
P8,Op3,7.563881358663386
P8,Op3,7.597868835733152
P9,Op1,10.294131977879005
P9,Op1,8.589796593247234
P9,Op1,9.944536556252121
P9,Op2,12.158621347473792
P9,Op2,10.885976404205174
P9,Op2,9.295939476324582
P9,Op3,11.17422956559311
P9,Op3,8.671570931008057
P9,Op3,8.283662152927104
P10,Op1,9.663477534972193
P10,Op1,10.2462669984897
P10,Op1,9.830338674831465
P10,Op2,10.509583890453444
P10,Op2,12.083121639723272
P10,Op2,10.088305624093971
P10,Op3,9.97132463716862
P10,Op3,9.197019685188424
P10,Op3,8.378376555703438
