Measurement,Reference
4.956356965782632,5.0
4.841736252800165,5.0
4.9876614813862465,5.0
4.908732576282721,5.0
4.858752268728027,5.0
4.901068156282408,5.0
7.438665177845815,7.5
7.555049525308401,7.5
7.60113384499975,7.5
7.301505021930553,7.5
7.40477078407175,7.5
7.528343970205423,7.5
10.248810298911078,10.0
10.047867549428545,10.0
9.956465240664816,10.0
9.92804447818999,10.0
10.036807946189485,10.0
10.063378970282596,10.0
12.553226782894841,12.5
12.4316020517702,12.5
12.575979088830493,12.5
12.58621307948527,12.5
12.48014036074819,12.5
12.419488010785477,12.5
14.96520603040214,15.0
15.091829522164472,15.0
15.055850496010319,15.0
14.993668121959718,15.0
15.2323904775551,15.0
15.159136895481145,15.0
