Measurement,Reference
10.84256284522326,10.0
10.872130671243161,10.0
10.806147115390097,10.0
10.889978793321573,10.0
10.778849566582089,10.0
10.733650019988131,10.0
10.935648386798965,10.0
10.722332583799737,10.0
10.859027720377082,10.0
10.894379329331738,10.0
10.743585711953662,10.0
10.952852541552808,10.0
10.728928259448384,10.0
10.714406946342592,10.0
10.737671418689143,10.0
10.830675708145941,10.0
10.796460427897888,10.0
10.632172092658791,10.0
10.827656912695725,10.0
10.852839848696231,10.0
10.694803447513983,10.0
10.745895106467565,10.0
10.903071530251049,10.0
10.82323014245231,10.0
10.804139036961576,10.0
11.012946110760396,10.0
10.76642069796359,10.0
10.794621278379623,10.0
10.701494667630383,10.0
10.873684677293705,10.0
