measurement,subgroup
48.9776621609388,1
50.25515059485921,1
48.92881411251795,1
51.059022358369646,1
51.435896325694024,1
50.24004641872865,2
49.543592379614935,2
50.17430030804879,2
49.692754945072494,2
49.20225048308779,2
49.498666450737105,3
50.14767170741176,3
51.021652874277805,3
50.500193175713626,3
49.04529682142485,3
47.82597584273605,4
48.80560020987398,4
49.322013483969485,4
51.08409865095724,4
49.708705515059144,4
48.02477579620012,5
51.38973384794316,5
51.31507912250464,5
50.14209652397966,5
48.369462060508056,5
49.421405617038225,6
50.17519446419497,6
50.276877584875486,6
49.03808835515839,6
49.16334208954113,6
51.873398585075826,7
47.90252946820478,7
51.8537597827752,7
48.77496283445695,7
51.51707735063685,7
50.60176719949687,8
50.66850085800536,8
50.16872669761821,8
51.997141021015445,8
50.58946477180282,8
49.97585413575012,9
48.345380687172586,9
50.54737218643633,9
50.40884915940848,9
49.521398817342764,9
48.753301227812564,10
50.135415994253236,10
50.33968704332775,10
49.666571314235604,10
51.899350371168296,10
50.741397216408586,11
48.20541438842702,11
48.94331272985596,11
52.47552250101032,11
50.51836212943491,11
50.8217478301076,12
49.31354533955715,12
49.882471701490665,12
49.6265748088663,12
48.525987503307746,12
48.147917101244346,13
49.54389930501514,13
49.70167274859787,13
48.837118373752226,13
49.89337015554079,13
49.10351857082017,14
52.81428269864524,14
48.69936476656387,14
53.16281743480568,14
50.09241046842621,14
50.454096950674675,15
49.85302722428572,15
50.37194811810977,15
50.89090036139786,15
49.9883162287498,15
49.896232166767014,16
50.347898754815894,16
50.42393610573682,16
51.381387470887105,16
52.34550474161024,16
49.16415845805819,17
50.41953296764666,17
49.93157802830202,17
49.31106575689522,17
49.156793862549584,17
48.83214363333972,18
49.20102765827719,18
49.311299612422026,18
52.17958529158559,18
52.72895089434077,18
50.349829797576305,19
52.27171674239491,19
47.872407238158715,19
51.838328582370586,19
49.02108659208727,19
50.12540547296997,20
49.023069035030844,20
50.187377243889756,20
51.14604863100095,20
49.49671222103489,20
52.810956887863234,21
55.672293966847676,21
55.44064057778196,21
53.61008433316331,21
52.83089722590924,21
50.61079354860957,22
50.801250907917215,22
48.589114223285854,22
45.25831300535019,22
48.41543663204359,22
48.383438247387296,23
57.1855523149623,23
51.42361322524455,23
54.542818810097295,23
47.35438950022151,23
48.877972284845896,24
50.412026653981904,24
49.917260941630495,24
53.17959547343894,24
45.18236832705315,24
53.12699844219252,25
53.06179465914873,25
49.539119353892815,25
47.36240085347315,25
51.63854413956537,25
51.006889516895804,26
45.324600120930626,26
53.884488025654406,26
45.09983038328049,26
48.61047088039648,26
55.905271292113824,27
50.3499261864196,27
44.758275340555784,27
55.60531349642412,27
42.50376277719009,27
52.03658016475981,28
48.33559169052705,28
56.93965616794066,28
53.64168963998954,28
53.20945868818949,28
49.2830760366623,29
51.68041803479592,29
45.116448844838615,29
45.77832420868188,29
51.595755178582976,29
53.06579741169159,30
43.57984218048489,30
48.82528460648872,30
50.197659114920775,30
55.10554583190509,30
